label,area,mean_intensity,integrated_density,filename,age,channel,region
59,16.0,120.375,1926.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
60,24.0,180.375,4329.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
61,40.0,196.875,7875.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
62,23.0,127.21739130434783,2926.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
63,1.0,101.0,101.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
64,105.0,188.93333333333334,19838.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
65,33.0,141.15151515151516,4658.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
66,11.0,170.63636363636363,1877.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
67,22.0,152.9090909090909,3364.0,J987_ARC _C3_slice5-Ort.czi,adult,gal,lower
1,88.0,161.64772727272728,14225.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
2,64.0,198.28125,12690.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
3,1.0,100.0,100.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
4,19.0,150.68421052631578,2863.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
5,6.0,147.16666666666666,883.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
6,31.0,162.51612903225808,5038.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
7,26.0,150.46153846153845,3912.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
8,23.0,169.08695652173913,3889.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
9,45.0,118.33333333333333,5325.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
10,112.0,181.85714285714286,20368.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
11,37.0,131.59459459459458,4869.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
12,5.0,132.8,664.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
13,131.0,215.17557251908397,28188.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
14,78.0,227.01282051282053,17707.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
15,3.0,151.33333333333334,454.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
16,11.0,114.81818181818181,1263.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
17,9.0,171.88888888888889,1547.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
18,27.0,210.85185185185185,5693.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
19,85.0,192.8470588235294,16392.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
20,66.0,156.33333333333334,10318.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
21,1.0,135.0,135.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
22,122.0,168.02459016393442,20499.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
23,28.0,231.14285714285714,6472.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
24,122.0,223.00819672131146,27207.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
25,39.0,135.17948717948718,5272.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
26,43.0,128.46511627906978,5524.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
27,159.0,207.13836477987422,32935.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
28,109.0,210.0091743119266,22891.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
29,108.0,242.03703703703704,26140.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
30,6.0,128.83333333333334,773.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
31,22.0,190.54545454545453,4192.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
32,1.0,119.0,119.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
33,4.0,179.75,719.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
34,1.0,147.0,147.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
35,1.0,101.0,101.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
36,94.0,167.88297872340425,15781.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
37,1.0,122.0,122.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
38,44.0,138.5,6094.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
39,8.0,137.25,1098.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
40,22.0,109.63636363636364,2412.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
41,9.0,97.88888888888889,881.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
42,102.0,198.23529411764707,20220.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
43,12.0,134.58333333333334,1615.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
44,8.0,166.5,1332.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
45,54.0,193.61111111111111,10455.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
46,146.0,199.26712328767124,29093.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
47,8.0,158.125,1265.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
48,8.0,112.625,901.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
49,12.0,128.83333333333334,1546.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
50,2.0,112.5,225.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
51,13.0,132.07692307692307,1716.9999999999998,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
52,32.0,212.71875,6807.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
53,35.0,133.68571428571428,4679.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
54,4.0,128.25,513.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
55,14.0,164.28571428571428,2300.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
56,8.0,183.25,1466.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
57,30.0,187.9,5637.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
58,59.0,164.84745762711864,9726.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
59,10.0,182.9,1829.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
60,101.0,154.1881188118812,15573.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
61,54.0,154.62962962962962,8350.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
62,116.0,174.68103448275863,20263.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
63,120.0,196.18333333333334,23542.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
64,10.0,124.9,1249.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
65,4.0,127.75,511.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
66,100.0,188.17,18817.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
67,8.0,167.5,1340.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
68,14.0,139.42857142857142,1951.9999999999998,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
69,9.0,205.0,1845.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
70,18.0,176.38888888888889,3175.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
71,17.0,167.76470588235293,2852.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
72,4.0,122.25,489.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
73,42.0,154.83333333333334,6503.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
74,150.0,229.32666666666665,34399.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
75,43.0,166.1860465116279,7145.999999999999,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
76,22.0,177.95454545454547,3915.0000000000005,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
77,7.0,229.71428571428572,1608.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
78,1.0,73.0,73.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
79,36.0,136.19444444444446,4903.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
80,6.0,161.33333333333334,968.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
81,1.0,146.0,146.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
82,15.0,195.6,2934.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
83,49.0,175.26530612244898,8588.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
84,79.0,171.69620253164558,13564.000000000002,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
85,55.0,208.96363636363637,11493.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
86,1.0,183.0,183.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
87,228.0,217.3640350877193,49559.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
88,2.0,124.0,248.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
89,48.0,195.3125,9375.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
90,78.0,163.07692307692307,12720.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
91,59.0,162.83050847457628,9607.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
92,33.0,154.3939393939394,5095.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
93,60.0,155.96666666666667,9358.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
94,103.0,195.8640776699029,20174.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
95,14.0,145.28571428571428,2034.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
96,39.0,120.61538461538461,4704.0,J987_ARC _C3_slice4-Ort.czi,adult,gal,lower
